category,claim,statement,evidence,audit_weight
reconstructed,signature_band,"3/4, sqrt(3/5), pi/4 form compact band","Exp 19, 02",4
reconstructed,redistributive_conservation,A+B=1 emerges as core conservation law,"Exp 03,04",4
reconstructed,pi4_axis,"pi/4 recovered across coupling, coherence, trace, tangent plane","Exp 03,04,05,09,10,11,12",4
reconstructed,circle_ellipse_transition,perfect coupling maps to circle; partial coupling maps to ellipse,Exp 06,4
reconstructed,bifocality,partial coupling produces focal separation,Exp 07,4
reconstructed,coupling_cost_bridge,residual bridge grows with focal separation,Exp 08,4
reconstructed,orthogonal_signature,theta + phi = 90 degrees,Exp 09,4
reconstructed,shadow_trace,normal/tangent traces balance at pi/4,Exp 10,4
reconstructed,tangent_plane,tangent-plane coordinates cross origin at pi/4,Exp 11,4
derived_operator,eta,eta=3/5 interpreted as natural active partition,Exp 15,3
derived_operator,fc,fc=sqrt(eta) as causal operational boundary,Exp 15,3
derived_operator,B,B=1-eta as free geometric sector,Exp 15,3
derived_operator,Phi,Phi as coherent transfer depth,"Exp 15,16",3
derived_operator,alpha,"alpha=Phi*B/sqrt(2), separated conceptual/operational","Exp 15,16,17",3
derived_operator,R,R=eta^(1/3) as operational transfer scale,Exp 15,3
application_bridge,hubble_bridge,operational alpha reconstructs H0 target through explicit operator,Exp 17,2
application_bridge,vacuum_gravity_links,later GEO labs may use these operators as downstream applications,external labs,2
interpretation,geometric_coupling_object,single coupled geometric architecture reconstructed internally,"Exp 13,14,18",1
interpretation,geometric_superconductor_architecture,model-level GEO interpretation of the reconstructed object,"Exp 13,18",1
interpretation,paradigm_shift,"possible long-term implication, not asserted by this lab",not claimed,1
